question,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,explanation
"EIGRP uses the protocol number _______ to identify its packets.",87,88,89,90,,,88,"EIGRP uses protocol number 88."
"EIGRP uses _______ packet types for inter-router communication.",three,four,five,six,seven,,five,"EIGRP uses the hello, request, reply, update, and query packet types."
"What is an EIGRP successor?","The next-hop router for the path with the lowest path metric for a destination prefix","The path with the lowest metric for a destination prefix","The router selected to maintain the EIGRP adjacencies for a broadcast network","A route that satisfies the feasibility condition where the reported distance is less than the feasible distance",,,"The next-hop router for the path with the lowest path metric for a destination prefix","An EIGRP successor is the next-hop router for the successor route (which is the loop-free route with the lowest path metric)."
"Which of the following attributes is NOT contained in the EIGRP topology table?","Destination network prefix","Hop count","Total path delay","Maximum path bandwidth","List of EIGRP neighbors",,"Maximum path bandwidth","The EIGRP topology table contains the destination network prefix, path attributes (hop count, minimum path bandwidth, and total path delay), and a list of nearby EIGRP neighbors. Maximum path bandwidth is not a listed attribute."
"Which pair of destination addresses does EIGRP use when feasible?","IP address 224.0.0.9 and MAC address 0C:15:C0:00:00:01","IP address 224.0.0.10 and MAC address 01:00:5E:00:00:0A","IP address 224.0.0.8 and MAC address 0C:15:C0:00:00:01",,,,,"IP address 224.0.0.10 and MAC address 01:00:5E:00:00:0A","EIGRP uses the multicast IP address 224.0.0.10 and MAC address 01:00:5E:00:00:0A when feasible."
"Which value can be modified on a router to manipulate the path taken by EIGRP but avoid having impacts on other routing protocols, such as OSPF?","Interface bandwidth","Interface MTU","Interface delay","Interface priority",,,"Interface delay","The interface delay can be modified to change the EIGRP path calculations without modifying the path calculation of OSPF."
"EIGRP uses a reference bandwidth of ________ with the default metrics.",100 Mbps,1 Gbps,10 Gbps,40 Gbps,,,10 Gbps,"EIGRP uses a reference bandwidth of 10 Gbps with the default metrics."
"The default EIGRP hello timer for a high-speed interface is ______.","1 second","5 seconds","10 seconds","20 seconds","30 seconds","60 seconds","5 seconds","EIGRP uses a default hello timer of 5 seconds for high-speed interfaces."
"When a path has been identified using EIGRP and in a stable fashion, the route is considered ______.","passive","dead","active","alive",,,"passive","EIGRP considers stable paths to be passive."
"How does an EIGRP router indicate that a path computation is required for a specific route?","EIGRP sends out an EIGRP update packet with the topology change notification flag set.","EIGRP sends out an EIGRP update packet with a metric value of zero.","EIGRP sends out an EIGRP query with the delay set to infinity.","EIGRP sends a route withdrawal, notifying other neighbors to remove the route from the topology table.",,,"EIGRP sends out an EIGRP query with the delay set to infinity.","EIGRP sends out a query packet with the delay set to infinity to indicate that a route has gone active."
